Ontology ID	Entity type	LABEL	Parent	alternative term	definition	definition source	term editor	term tracker item	ontology term requester	editor note	database_cross_reference
OPL:0000221	class	3 day schistosomulum stage	schistomulum stage		A schistosomulum stage that occurs in 3 days after infection of the mammalian host.	PMID:19885392	Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000222	class	Plasmodium falciparum erythrocytic ring trophozoite	Leishmania major promastigote	P. falciparum erythrocytic ring trophozoite	"A Plasmodium falciparum erythrocytic trophozoite that is found in erythrocytes. It is a young trophozoite stage that has a typical 'ring-like' appearance. Ring-form trophozoites of Plasmodium falciparum are often thin and delicate, measuring on average 1/5 the diameter of the red blood cell."	http://www.dpd.cdc.gov/dpdx/html/frames/m-r/malaria/falciparum/body_malariadffalcring.htm	C. Janse|Chris Stoeckert|Jie Zheng|Priti Parkh|S. Khan				
OPL:0000223	class	Trypanosoma cruzi epimastigote stage	epimastigote stage	T. cruzi epimastigote stage	An epimastigote stage in the lifecycle of Trypanosoma cruzi.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000224	class	Schistosoma japonicum adult female worm stage	adult female parasitic worm stage	S. japonicum adult female worm stage	An adult female worm stage of Schistosoma japonicum that is fully developed mature female stage of Schistosoma japonicum and occurs in the small superior mesenteric blood vessels associated with the ileo-caecal area of the intestine of the mammalian host.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000225	class	Schistosoma japonicum adult male worm stage	adult male parasitic worm stage	S. japonicum adult male worm stage	An adult male worm stage of Schistosoma japonicum that is fully developed mature male stage of Schistosoma japonicum and occurs in the small superior mesenteric blood vessels associated with the ileo-caecal area of the intestine of the mammalian host.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000226	class	Schistosoma japonicum adult worm	Leishmania major promastigote	S. japonicum adult worm	"A Schistosoma japonicum worm is a fully developed mature form of Schistosoma japonicum and capable of sexual reproduction, which lives in the small superior mesenteric blood vessels associated with the ileo-caecal area of the intestine of the mammal host."		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000227	class	Schistosoma mansoni adult worm	Leishmania major promastigote	S. mansoni adult worm	"A Schistosoma mansoni worm is the fully developed mature form of Schistosoma mansoni and capable of sexual reproduction, which lives in the small inferior mesenteric blood vessels surrounding the large intestine of the mammal host."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000228	class	Schistosoma haematobium adult male worm stage	adult male parasitic worm stage	S. haematobium adult male worm stage	An adult male worm stage of Schistosoma haematobium that is fully developed mature male stage of Schistosoma haematobium and found in the pelvic blood vessels of the vesicle plexis of the mammalian host.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000229	class	Schistosoma japonicum adult male worm	Leishmania major promastigote	S. japonicum adult male worm	"A Schistosoma japonicum adult worm is a fully developed mature male form of Schistosoma japonicum and capable of sexual reproduction, which lives in the small superior mesenteric blood vessels associated with the ileo-caecal area of the intestine of the mammal host and has 4-5 testes."		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000230	class	Schistosoma mansoni adult male worm stage	adult male parasitic worm stage	S. mansoni adult male worm stage	An adult male worm stage of Schistosoma mansoni that is fully developed mature male stage of Schistosoma mansoni and found in the small inferior mesenteric blood vessels surrounding the large intestine of the mammalian host.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000231	class	Schistosoma mansoni adult female worm	Leishmania major promastigote	S. mansoni adult female worm	"A Schistosoma mansoni adult worm is the fully developed mature female form of Schistosoma mansoni and capable of sexual reproduction, which lives within the gynacophoric canal of the adult male worm in the small inferior mesenteric blood vessels surrounding the large intestine of the mammal host."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000232	class	parasite organism	Leishmania major promastigote		"An organism living in, with, or on another organism in parasitism. Individual members of parasite species, such as Leishmania, Plasmodium, Trypanosoma, etc. are members of this class."	http://www.merriam-webster.com/dictionary/parasite?show=0&t=1310398415	Priti Parikh|Jie Zheng				
OPL:0000233	class	Schistosoma haematobium adult worm	Leishmania major promastigote	S. haematobium adult worm	"A Schistosoma haematobium worm is a fully developed mature form of Schistosoma haematobium and capable of sexual reproduction, which lives in the pelvic blood vessels of the vesicle plexis of the mammal host."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000234	class	Schistosoma haematobium adult female worm stage	adult female parasitic worm stage	S. haematobium adult female worm stage	An adult female worm stage of Schistosoma haematobium that is fully developed mature female stage of Schistosoma haematobium and found in the pelvic blood vessels of the vesicle plexis of the mammalian host.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000235	class	Schistosoma haematobium adult female worm	Leishmania major promastigote	S. haematobium adult female worm	"A Schistosoma haematobium adult worm is a fully developed mature female form of Schistosoma haematobium and capable of sexual reproduction, which lives within the gynacophoric canal of the adult male worm in the pelvic blood vessels of the vesicle plexis of the mammal host."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000236	class	Schistosoma mansoni adult female worm stage	adult female parasitic worm stage	S. mansoni adult female worm stage	An adult female worm stage of Schistosoma mansoni that is fully developed mature female stage of Schistosoma mansoni and found in the small inferior mesenteric blood vessels surrounding the large intestine of the mammalian host.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000237	class	adult parasitic worm stage	parasitic worm stage		"A parasitic worm stage where the worm is matured and ready to pair up with another adult worm of the opposite gender, and reproduce."	http://www.path.cam.ac.uk/~schisto/schistosoma/schisto_lifecycle_egg.html	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000238	class	Schistosoma japonicum adult female worm	Leishmania major promastigote	S. japonicum adult female worm	"A Schistosoma japonicum adult worm is a fully developed mature female form of Schistosoma japonicum and capable of sexual reproduction, which lives within the gynacophoric canal of the adult male worm in the small superior mesenteric blood vessels associated with the ileo-caecal area of the intestine of the mammal host."		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000239	class	adult male parasitic worm stage	adult parasitic worm stage		An adult worm stage of a male parasitic worm.	http://www.path.cam.ac.uk/~schisto/schistosoma/schisto_lifecycle_egg.html	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000240	class	Schistosoma mansoni adult male worm	Leishmania major promastigote	S. mansoni adult male worm	"A Schistosoma mansoni adult worm is the fully developed mature male form of Schistosoma mansoni and capable of sexual reproduction, which lives in the small inferior mesenteric blood vessels surrounding the large intestine of the mammal host and has 4-5 testes."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000241	class	Plasmodium falciparum hepatic merozoite	Leishmania major promastigote	P. falciparum hepatic merozoite	A Plasmodium falciparum merozoite that is produced in a hepatic schizont and released into the bloodstream of a human host. These forms invade erythrocytes.		C. Janse|Chris Stoeckert|Jie Zheng|S. Khan				
OPL:0000242	class	Plasmodium falciparum erythrocytic merozoite	Leishmania major promastigote	P. falciparum erythrocytic merozoite	A Plasmodium falciparum merozoite that is produced in an erythrocytic schizont and released into the bloodstream of a human host. These forms invade erythrocytes.		C. Janse|Chris Stoeckert|Jie Zheng|S. Khan				
OPL:0000243	class	erythrocytic trophozoite stage	trophozoite stage		A trophozoite stage in some protozoan parasite life cycle that occurs in erythrocytes.		Chris Stoeckert			definition adapted from that for P. falciparum erythrocytic trophozoite stage and parent trophozoite stage	
OPL:0000244	class	Plasmodium falciparum erythrocytic trophozoite	Leishmania major promastigote	P. falciparum erythrocytic trophozoite	A Plasmodium falciparum trophozoite that is found in erythrocytes. It is a feeding stage with a single nucleus.		C. Janse|Chris Stoeckert|Jie Zheng|S. Khan				
OPL:0000245	class	Plasmodium falciparum erythrocytic merozoite stage	erythrocytic merozoite stage	P. falciparum erythrocytic merozoite stage	An erythrocytic merozoite stage in the Plasmodium falciparum lifecycle that occurs in the bloodstream of a human host.		C. Janse|Chris Stoeckert|Jie Zheng|S. Khan				
OPL:0000246	class	Plasmodium falciparum hepatic merozoite stage	hepatic merozoite stage	P. falciparum hepatic merozoite stage	A hepatic merozoite stage in the Plasmodium falciparum lifecycle that occurs in the hepatocyte of a human host.		C. Janse|Chris Stoeckert|Jie Zheng|S. Khan				
OPL:0000247	class	hepatic merozoite stage	merozoite stage		A merozoite stage in the Plasmodium lifecycle that occurs in the hepatocyte of a vertebrate host.		Chris Stoeckert|Jie Zheng			definition adapted from that for P. falciparum hepatic merozoite stage	
OPL:0000248	class	erythrocytic merozoite stage	merozoite stage		A merozoite stage in the apicomplexan lifecycle that occurrs in the bloodstream of a vertebrate host.		Chris Stoeckert|Jie Zheng			definition adapted from that for P. falciparum salivary erythrocytic merozoite stage and from the general merozoite definition	
OPL:0000249	class	Plasmodium falciparum gametocyte	Leishmania major promastigote		A Plasmodium falciparum that is located either in the bloodstream of the human host or midgut of mosquito vector. Gametocytes are the precursor cells of the macro- or micro-gametes.		C. Janse|Chris Stoeckert|Jie Zheng|K. Louis|S Khan				
OPL:0000250	class	Plasmodium falciparum hepatic trophozoite stage	hepatic trophozoite stage	P. falciparum hepatic trophozoite stage	A hepatic trophozoite stage in the Plasmodium falciparum life cycle that occurs in hepatocytes of a human host.		C. Janse|Chris Stoeckert|Jie Zheng|S. Khan				
OPL:0000251	class	Plasmodium falciparum trophozoite stage	trophozoite stage	P. falciparum trophozoite stage	A trophozoite stage in the Plasmodium falciparum lifecycle that occurs in a human host.		Chris Stoeckert|Jie Zheng				
OPL:0000252	class	Plasmodium falciparum oocyst-derived sporozoite stage	oocyst-derived sporozoite stage		A sporozoite stage in the Plasmodium falciparum lifecycle that occurs in the hemocoel and the salivary glands of the mosquito. Sporozoites invade hepatocytes in the human host.		C. Janse|Chris Stoeckert|Jie Zheng|S. Khan				
OPL:0000253	class	salivary gland-derived sporozoite stage	sporozoite stage		A sporozoite stage in the Plasmodium lifecycle that occurs in the hemocoel and the salivary glands of the mosquito. Sporozoites invade hepatocytes in the vertebrate host.		Chris Stoeckert			definition adapted from that for P. falciparum salivary gland derived sporozoite stage	
OPL:0000254	class	Plasmodium falciparum salivary gland-derived sporozoite stage	salivary gland-derived sporozoite stage		A salivary gland-derived sporozoite stage in the Plasmodium falciparum lifecycle that occurs in the hemocoel and the salivary glands of the mosquito. Sporozoites invade hepatocytes in the human host.		C. Janse|Chris Stoeckert|Jie Zheng|S. Khan				
OPL:0000255	class	Plasmodium falciparum salivary gland-derived sporozoite	Leishmania major promastigote	P. falciparum salivary gland-derived sporozoite	A Plasmodium falciparum sporozoite that is formed in the oocyst. It migrates to and resides in the salivary glands of the mosquito vector. Sporozoites invade hepatocytes in a human host.		C. Janse|Chris Stoeckert|Jie Zheng|S. Khan				
OPL:0000256	class	oocyst-derived sporozoite stage	sporozoite stage		A sporozoite stage in some parasite lifecycle that occurs in the hemocoel and the salivary glands of the mosquito. Sporozoites invade hepatocytes in the vertebrate host.		Chris Stoeckert			definition adapted from that for P. falciparum oocyte derived sporozoite stage	
OPL:0000257	class	Plasmodium falciparum hepatic trophozoite	Leishmania major promastigote	P. falciparum hepatic trophozoite	A Plasmodium falciparum trophozoite that is found in hepatocytes of a human host. It is a feeding stage with a single nucleus		C. Janse|Chris Stoeckert|Jie Zheng|S. Khan				
OPL:0000258	class	Plasmodium falciparum gamete	Leishmania major promastigote	P. falciparum gamete	A Plasmodium falciparum that is found in midgut of mosquito vector. There are two forms of gametes: micro- and macrogametocytes.		C. Janse|Chris Stoeckert|Jie Zheng|S. Khan				
OPL:0000259	class	Plasmodium falciparum oocyst-derived sporozoite	Leishmania major promastigote	P. falciparum oocyst-derived sporozoite	A Plasmodium falciparum sporozoite that is found in the infected hepatocytes of a human host.		C. Janse|Chris Stoeckert|Jie Zheng|S. Khan				
OPL:0000260	class	gamete stage	life cycle stage		A life cycle stage of some parasites that develop into mature sexual cells.		Jie Zheng				
OPL:0000261	class	hepatic trophozoite stage	trophozoite stage		A trophozoite stage in some protozoan parasite life cycle that occurs in hepatocytes.		Chris Stoeckert			definition adapted from that for P. falciparum hepatic trophozoite stage and from parent trophozoite stage	
OPL:0000262	class	Plasmodium falciparum gamete stage	gamete stage	P. falciparum gamete stage	A gamete stage in the Plasmodium falciparum lifecycle that occurs in the midgut of a mosquito vector.		C. Janse|Chris Stoeckert|Jie Zheng|S. Khan				
OPL:0000263	class	asexual lifecycle in host red blood cell stage	parasite lifecycle stage	asexual blood stage	"A parasite lifecycle stage that occurs as a result of asexual replication in the red blood cells of the host organism. For Plasmodium species these stages can include merozoites, trophozoites, and schizonts."	VEuPathDB	Chris Stoeckert				
OPL:0000264	class	Plasmodium gamete	Leishmania major promastigote		A Plasmodium that is found in the midgut of a mosquito vector during gamete lifecycle stage. There are two forms of gametes: micro- and macrogametocytes.		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000265	class	Plasmodium macrogamete	Leishmania major promastigote		"A Plasmodium gamete that is in a matured form of the macrogametocyte and found in the midgut of a mosquito vector. The macrogamete is fertilized by the microgamete, forming the zygote."		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000266	class	Plasmodium microgamete	Leishmania major promastigote		"A Plasmodium gamete that is in a matured form of exflagellated microgametocyte and found in the midgut of a mosquito vector. The microgamete fertilises the macrogamete, forming the zygote."		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000267	class	Plasmodium gametocyte	Leishmania major promastigote		A Plasmodium that is located either in the bloodstream of the vertebrate host or midgut of mosquito vector during gametocyte stage. Gametocytes are the precursor cells of the macro- or microgametes		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000268	class	Plasmodium macrogametocyte	Leishmania major promastigote		A Plasmodium gametocyte that is a female gametocyte of Plasmodium and found either in the bloodstream of the vertebrate host or midgut of mosquito vector. The macrogametocyte is a precursor of the macrogamete.		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000269	class	Plasmodium microgametocyte	Leishmania major promastigote		A Plasmodium gametocyte that is a male gametocyte of Plasmodium and found either in the bloodstream of a vertebrate host or midgut of a mosquito vector. The microgametocyte is a precursor cell of the microgamete		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000270	class	Plasmodium merozoite	Leishmania major promastigote		"A Plasmodium that is during merozoite lifecycle stage, occurs in the bloodstream of a vertebrate host."		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000271	class	Plasmodium erythrocytic merozoite	Leishmania major promastigote		A Plasmodium merozoite that is produced in an erythrocytic schizont and released into the bloodstream of a vertebrate host. These forms invade erythrocytes.		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000272	class	Plasmodium hepatic merozoite	Leishmania major promastigote		A Plasmodium merozoite that is produced in a hepatic schizont and released into the bloodstream of a vertebrate host. These forms invade erythrocytes.		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000273	class	Plasmodium oocyst	Leishmania major promastigote		"A Plasmodium that is formed after traversal of the midgut wall by the ookinete stage, on the hemocoel side of the midgut wall of the mosquito vector."		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000274	class	Plasmodium ookinete	Leishmania major promastigote		A Plasmodium that is a 'banana-shaped' form originates from the round zygote. The ookinete is found in the midgut of a mosquito vector and traverses the midgut wall of a mosquito vector.		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000275	class	Plasmodium schizont	Leishmania major promastigote		"A Plasmodium that is a form divides through schizogony. Depending on its location, it is either called hepatic or erythrocytic schizont. The schizont is a dividing stage with 2 or more nuclei."		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000276	class	Plasmodium erythrocytic schizont	Leishmania major promastigote		A Plasmodium schizont that is found in infected erythrocytes of a vertebrate host.		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000277	class	Plasmodium hepatic schizont	Leishmania major promastigote		A Plasmodium schizont that is found in infected hepatocytes (i.e. liver cells) of a vertebrate host.		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000278	class	Plasmodium sporozoite	Leishmania major promastigote		A Plasmodium that is formed in the oocyst and migrates to and reside in the salivary glands of the mosquito vector. A distinction is made between oocyst-derived and salivary gland-derived sporozoites. Sporozoites invade hepatocytes in the vertebrate host.		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000279	class	Plasmodium oocyst-derived sporozoite	Leishmania major promastigote		A Plasmodium sporozoite that is found in the infected hepatocytes of a vertebrate host.		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000280	class	Plasmodium salivary gland-derived sporozoite	Leishmania major promastigote		A Plasmodium sporozoite that is found in the salivary glands of the mosquito vector.		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000281	class	Plasmodium trophozoite	Leishmania major promastigote		"A Plasmodium that is a feeding form which has a single nucleus during the trophozoite stage. Depending on its location, it is either called hepatic or erythrocytic trophozoite."		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000282	class	Plasmodium erythrocytic trophozoite	Leishmania major promastigote		A Plasmodium trophozoite that is found in erythrocytes of a vertebrate host.		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000283	class	Plasmodium erythrocytic ring trophozoite	Leishmania major promastigote		"A Plasmodium erythrocytic trophozoite that has a typical 'ring-like' appearance. Ring-form trophozoites of Plasmodium are often thin and delicate, measuring on average 1/5 the diameter of the red blood cell."		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000284	class	Plasmodium hepatic trophozoite	Leishmania major promastigote		A Plasmodium trophozoite that is found in hepatocytes.		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000285	class	Plasmodium zygote	Leishmania major promastigote		A Plasmodium that is formed after fertilization of the macrogamete by a microgamete in the midgut of the mosquito vector. This round form is the only diploid stage in the Plasmodium life cycle.		Chris Stoeckert|Jie Zheng|Ulrike Boehme	https://github.com/OPL-ontology/OPL/issues/2	GeneDB		
OPL:0000286	class	Plasmodium gamete stage	gamete stage		A gamete stage in the Plasmodium lifecycle that occurs in the midgut of a mosquito vector.		Chris Stoeckert|Jie Zheng				
OPL:0000287	class	Plasmodium macrogamete stage	macrogamete stage		A macrogamete stage in the Plasmodium lifecycle that occurs in the midgut of a mosquito vector.		Chris Stoeckert|Jie Zheng				
OPL:0000288	class	Plasmodium microgamete stage	microgamete stage		A microgamete stage in the Plasmodium lifecycle that occurs in the midgut of a mosquito vector.		Chris Stoeckert|Jie Zheng				
OPL:0000289	class	Plasmodium gametocyte stage	gametocyte stage		A gametocyte stage in the lifecycle of Plasmodium.		Chris Stoeckert|Jie Zheng				
OPL:0000290	class	Plasmodium macrogametocyte stage	macrogametocyte stage		A macrogametocyte stage in the Plasmodium lifecycle that occurs either in the bloodstream of a vertebrate host or the midgut of a mosquito vector.		Chris Stoeckert|Jie Zheng				
OPL:0000291	class	Plasmodium microgametocyte stage	microgametocyte stage		A microgametocyte stage in the Plasmodium lifecycle that occurs either in the bloodstream of a vertebrate host or the midgut of a mosquito vector.		Chris Stoeckert|Jie Zheng				
OPL:0000292	class	Plasmodium merozoite stage	merozoite stage		A merozoite stage in the Plasmodium lifecycle that occurs in the bloodstream or hepatocytes of a vertebrate host.		Chris Stoeckert|Jie Zheng				
OPL:0000293	class	Plasmodium erythrocytic merozoite stage	erythrocytic merozoite stage		An erythrocytic merozoite stage in the Plasmodium lifecycle that occurs in the bloodstream of a vertebrate host.		Chris Stoeckert|Jie Zheng				
OPL:0000294	class	Plasmodium hepatic merozoite stage	hepatic merozoite stage		A hepatic merozoite stage in the Plasmodium lifecycle that occurs in the hepatocyte of a vertebrate host.		Chris Stoeckert|Jie Zheng				
OPL:0000295	class	Plasmodium oocyst stage	oocyst stage		"An oocyst stage in the Plasmodium lifecycle that occurs on the hemocoel side of the midgut of a mosquito vector. During this stage Plasmodium ookinete invades and escapes midgut wall of mosquito and embed itself onto the exterior of the gut membrane and develop encysted zygote, called oocyst."		Chris Stoeckert|Jie Zheng				
OPL:0000296	class	Plasmodium ookinete stage	ookinete stage		An ookinete stage in the Plasmodium lifecycle that occurs in the midgut of a mosquito vector and on the outside of the midgut.		Chris Stoeckert|Jie Zheng				
OPL:0000297	class	Plasmodium schizont stage	schizont stage		A schizont stage in the Plasmodium lifecycle that occurs in erythrocytes or in hepatocytes.		Chris Stoeckert|Jie Zheng				
OPL:0000298	class	Plasmodium erythrocytic schizont stage	erythrocytic schizont stage		An erythrocytic schizont stage in the Plasmodium lifecycle that occurs in the infected erythrocytes of a vertebrate host.		Chris Stoeckert|Jie Zheng				
OPL:0000299	class	Plasmodium hepatic schizont stage	hepatic schizont stage		A hepatic schizont stage in the Plasmodium lifecycle that occurs in the infected hepatocytes of a vertebrate host.		Chris Stoeckert|Jie Zheng				
OPL:0000300	class	Plasmodium sporozoite stage	sporozoite stage		A sporozoite stage in the Plasmodium lifecycle that occurs in the salivary glands of the mosquito and invades hepatocytes in the vertebrate host.		Chris Stoeckert|Jie Zheng				
OPL:0000301	class	Plasmodium oocyst-derived sporozoite stage	oocyst-derived sporozoite stage		A sporozoite stage in the Plasmodium lifecycle that develops in oocysts of the mosquito midgut.		Chris Stoeckert|Jie Zheng|Omar harb				
OPL:0000302	class	Plasmodium salivary gland-derived sporozoite stage	salivary gland-derived sporozoite stage		A salivary gland-derived sporozoite stage in the Plasmodium lifecycle that occurs in the salivary glands of the mosquito and invades hepatocytes in the vertebrate host.		Chris Stoeckert|Jie Zheng|Omar harb				
OPL:0000303	class	Plasmodium trophozoite stage	trophozoite stage		A trophozoite stage in the Plasmodium lifecycle that occurs in a vertebrate host.		Chris Stoeckert|Jie Zheng				
OPL:0000304	class	Plasmodium erythrocytic trophozoite stage	erythrocytic trophozoite stage		An erythrocytic trophozoite stage in the Plasmodium life cycle that occurs in erythrocytes of a vertebrate host.		Chris Stoeckert|Jie Zheng				
OPL:0000305	class	Plasmodium erythrocytic ring trophozoite stage	erythrocytic ring trophozoite stage		"An erythrocytic ring trophozoite stage in the Plasmodium life cycle that occurs in erythrocytes of a vertebrate host. During this stage some Plasmodium merozoites undergo asexual reproduction cycle in erythrocytes and form young trophozoites that are referred to as ""ring form"" due to their morphology."		Chris Stoeckert|Jie Zheng				
OPL:0000306	class	Plasmodium hepatic trophozoite stage	hepatic trophozoite stage		A hepatic trophozoite stage in the Plasmodium life cycle that occurs in hepatocytes of a vertebrate host.		Chris Stoeckert|Jie Zheng				
OPL:0000307	class	Plasmodium zygote stage	zygote stage		A zygote stage in the Plasmodium lifecycle that occurs in the midgut of the mosquito vector where a microgamete and a macrogamete fertilizes each other to produce a diploid cell.		Chris Stoeckert|Jie Zheng				
OPL:0000308	class	Schistosoma haematobium adult worm stage	adult parasitic worm stage		An adult worm stage in the Schistosoma haematobium lifecycle.		Chris Stoeckert|Jie Zheng				
OPL:0000309	class	Schistosoma japonicum adult worm stage	adult parasitic worm stage		An adult worm stage in the Schistosoma japonicum lifecycle.		Chris Stoeckert|Jie Zheng				
OPL:0000310	class	Vertebrate blood	blood		Blood that is part of or originated from a vertebrate.	OPL	Jie Zheng				
OPL:0000311	class	Vertebrate erythrocyte	erythrocyte		An erythrocyte that is a part of or originated from a vertebrate.	OPL	Jie Zheng				
OPL:0000312	class	Vertebrate hepatocyte	hepatocyte		A hepatocyte that is a part of or originated from a vertebrate.	OPL	Jie Zheng				
OPL:0000313	class	Mammalia cerebrospinal fluid	cerebrospinal fluid		Cerebrospinal fluid that is a part of or originated from a mammal.		Jie Zheng				
OPL:0000314	class	Mammalia skin	skin of body		A skin that is a part of or originated from a mammalian body.		Jie Zheng				
OPL:0000315	class	Mammalia liver	liver		A liver that is a part of or originated from a mammal (Mammalia).		Jie Zheng				
OPL:0000316	class	Mammalia lung	lung		A lung that is a part of or originated from a mammal (Mammalia).		Jie Zheng				
OPL:0000317	class	Mammalia mesenteric vein	mesenteric vein		A mesenteric vein that is a part of or originated from a mammal (Mammalia).		Jie Zheng				
OPL:0000318	class	Mammalia intestine	intestine		An intestine that is a part of or originated from a mammal (Mammalia).		Jie Zheng				
OPL:0000319	class	Schistosoma mansoni adult worm stage	adult parasitic worm stage		An adult worm stage in the Schistosoma mansoni lifecycle.		Chris Stoeckert|Jie Zheng				
OPL:0000320	class	Mammalia blood	blood		Blood that is part of or originated from a mammalia.		Jie Zheng				
OPL:0000321	class	Mammalia macrophage	macrophage		A macrophage that is a part of or originated from a mammalia.		Jie Zheng				
OPL:0000322	class	Trypanosomatida metacyclic stage	parasite lifecycle stage	metacyclic stage	A parasite lifecycle stage of trypanosomatidae in which the organism is infectious and does not multiply.	https://microbewiki.kenyon.edu/index.php/Trypanosome_Life_Cycle|https://web.stanford.edu/group/parasites/ParaSites2003/Leishmania/Leish%20Biology.html	Chris Stoeckert|Jie Zheng	https://github.com/OPL-ontology/OPL/issues/9			
OPL:0000323	class	Trypanosomatida procyclic stage	parasite lifecycle stage	procyclic stage	A parasite lifecycle stage of trypanosomatidae in which the organism is in dividing form and it occurs in fly vector.	VEuPathDB	Achchuthan Shanmugasundram|Chris Stoeckert|Jie Zheng	https://github.com/OPL-ontology/OPL/issues/10			
